year,flag_country_iso3c,flag_country_name,eez_sovereign_iso3c,eez_sovereign_name,fao_fishing_id,fao_major_fishing_area,length_category,nom_active_fishing_days,eff_active_fishing_days,sector
2012,ESP,Spain,ESP,Spain,34,"Atlantic, Eastern Central",6-12m,6132889.9820785,30298826.3286505,Artisanal
2012,ESP,Spain,ESP,Spain,34,"Atlantic, Eastern Central",Less than 6m,1277935.0264495,6313488.67154637,Artisanal
2012,ESP,Spain,ESP,Spain,37,Mediterranean and Black Sea,12-24m,210.01324266355,1037.54588534508,Artisanal
2012,ESP,Spain,ESP,Spain,37,Mediterranean and Black Sea,6-12m,11916331.1261795,58871241.5063477,Artisanal
2012,ESP,Spain,ESP,Spain,37,Mediterranean and Black Sea,Less than 6m,2777103.02047203,13719952.9683289,Artisanal
2012,EST,Estonia,EST,Estonia,27,"Atlantic, Northeast",6-12m,1830095.77984876,9041374.3537661,Artisanal
2012,EST,Estonia,EST,Estonia,27,"Atlantic, Northeast",Less than 6m,1635252.15007524,8078772.16833589,Artisanal
2012,FIN,Finland,FIN,Finland,27,"Atlantic, Northeast",6-12m,10682819.6041525,52777221.9675169,Artisanal
2012,FIN,Finland,FIN,Finland,27,"Atlantic, Northeast",Less than 6m,3876242.16198493,19150121.4626339,Artisanal
2012,FJI,Fiji,FJI,Fiji,71,"Pacific, Western Central",12-24m,145091.441175,716807.311199318,Artisanal
2012,FJI,Fiji,FJI,Fiji,71,"Pacific, Western Central",6-12m,4964554.5474,24526801.6335433,Artisanal
2012,FRA,France,FRA,France,27,"Atlantic, Northeast",6-12m,23785364.8537032,117508815.741335,Artisanal
2012,FRA,France,FRA,France,27,"Atlantic, Northeast",Less than 6m,1221549.87183792,6034924.40378963,Artisanal
2012,FRA,France,FRA,France,31,"Atlantic, Western Central",6-12m,2900215.61781114,14328176.3697835,Artisanal
2012,FRA,France,FRA,France,31,"Atlantic, Western Central",Less than 6m,172601.949739048,852719.7641588,Artisanal
2012,FRA,France,FRA,France,37,Mediterranean and Black Sea,6-12m,29928252.7885913,147857035.787581,Artisanal
2012,FRA,France,FRA,France,37,Mediterranean and Black Sea,Less than 6m,1431440.43458967,7071864.20336556,Artisanal
2012,FRO,Faroe Islands,FRO,Faroe Islands,27,"Atlantic, Northeast",12-24m,284352.97185,1404812.63079806,Artisanal
2012,FRO,Faroe Islands,FRO,Faroe Islands,27,"Atlantic, Northeast",24-50m,3903486.0375,19284716.646171,Artisanal
2012,FRO,Faroe Islands,FRO,Faroe Islands,27,"Atlantic, Northeast",Over 50m,12710531.3781,62794895.0487115,Artisanal
